STEPS,CC,CD,DC,DD
858,385,1171,30,65
859,396,1176,29,69
860,393,1159,32,66
861,396,1171,30,72
862,391,1192,29,78
863,376,1212,29,72
864,399,1226,28,73
865,391,1211,25,71
866,395,1191,27,70
867,402,1205,29,71
868,409,1200,29,72
869,408,1191,32,72
870,406,1190,37,68
871,406,1181,34,71
872,395,1157,35,76
873,401,1174,35,70
874,393,1156,37,73
875,390,1176,33,75
876,382,1188,35,74
877,370,1178,32,79
878,380,1174,31,80
879,379,1167,32,92
880,391,1152,35,89
881,383,1165,36,87
882,380,1161,34,92
883,370,1160,32,97
884,381,1161,29,98
885,378,1172,26,96
886,381,1175,28,85
887,380,1176,30,86
888,383,1175,29,82
889,368,1182,28,81
890,382,1165,30,80
891,369,1159,32,87
892,363,1163,35,80
893,348,1143,33,80
894,336,1183,35,89
895,349,1196,33,87
896,344,1181,34,87
897,343,1177,33,88
898,341,1178,30,89
899,328,1199,29,86
900,331,1201,29,93
901,343,1212,27,89
902,344,1230,31,91
903,338,1220,32,95
904,330,1213,37,96
905,326,1217,35,98
906,325,1221,34,99
907,332,1237,37,106
908,339,1237,38,113
909,349,1241,41,112
910,340,1229,46,104
911,334,1211,44,104
912,335,1202,44,104
913,320,1187,47,103
914,328,1203,47,111
915,316,1209,46,111
916,321,1225,44,113
917,323,1223,44,114
918,330,1223,48,112
919,330,1240,49,112
920,329,1223,46,110
921,340,1213,46,108
922,338,1205,44,105
923,344,1190,41,102
924,335,1192,42,111
925,336,1187,45,111
926,337,1164,44,119
927,309,1149,45,113
928,306,1136,47,121
929,299,1135,46,120
930,297,1152,46,119
931,301,1157,48,118
932,309,1146,51,108
933,310,1180,51,116
934,294,1172,50,120
935,296,1177,54,122
936,301,1190,54,122
937,289,1168,55,117
938,284,1163,57,117
939,293,1151,57,117
940,291,1159,57,114
941,292,1154,57,109
942,290,1194,55,110
943,283,1198,50,111
944,280,1207,46,111
945,278,1225,47,111
946,270,1172,52,106
947,269,1171,52,108
948,269,1174,58,114
949,276,1159,57,108
950,280,1168,59,111
951,270,1187,61,113
952,267,1172,62,109
953,275,1176,60,109
954,287,1151,66,123
955,283,1149,63,120
956,291,1151,64,119
957,298,1171,68,115
958,299,1162,68,120
959,297,1155,69,109
960,314,1159,70,102
961,307,1150,69,103
962,295,1149,71,107
963,304,1146,71,108
964,293,1144,71,109
965,288,1155,70,105
966,286,1172,68,107
967,275,1191,70,108
968,283,1187,70,111
969,287,1173,69,114
970,292,1175,60,118
971,285,1176,63,117
972,278,1164,58,118
973,272,1156,59,113
974,276,1164,56,113
975,271,1142,63,105
976,276,1149,61,100
977,275,1134,64,104
978,274,1125,68,112
979,274,1149,71,113
980,281,1136,62,111
981,280,1147,58,109
982,274,1162,54,109
983,273,1139,53,103
984,267,1126,55,106
985,259,1121,54,105
986,261,1106,56,103
987,255,1069,51,103
988,253,1078,57,99
989,261,1077,56,100
990,264,1102,49,98
991,262,1102,50,99
992,257,1111,52,101
993,261,1135,56,102
994,257,1109,56,97
995,248,1118,57,99
996,256,1114,56,101
997,255,1141,54,107
998,259,1132,52,108
999,248,1121,50,114
1000,240,1127,55,108
1001,250,1138,59,111
1002,248,1119,62,107
1003,249,1124,61,101
1004,256,1146,59,90
1005,258,1145,57,90
1006,267,1155,58,94
1007,282,1174,52,96
1008,274,1176,52,89
1009,285,1153,51,85
1010,280,1161,44,86
1011,294,1149,48,89
1012,277,1150,51,88
1013,286,1159,53,88
1014,282,1175,55,87
1015,269,1166,54,81
1016,255,1160,51,85
1017,263,1157,54,87
1018,260,1190,55,85
1019,248,1201,54,93
1020,249,1201,53,91
1021,254,1220,56,90
1022,248,1222,51,90
1023,251,1217,49,88
1024,243,1219,49,87
1025,242,1211,49,82
1026,248,1239,51,86
1027,241,1235,51,86
1028,235,1275,48,80
1029,235,1277,53,81
1030,226,1281,53,87
1031,218,1266,56,90
1032,232,1284,56,97
1033,234,1272,60,98
1034,225,1284,57,98
1035,220,1271,64,100
1036,226,1250,61,103
1037,227,1259,56,104
1038,232,1246,55,100
1039,226,1265,62,94
1040,228,1256,59,101
1041,239,1261,61,90
1042,236,1263,58,92
1043,233,1249,57,89
1044,233,1266,55,95
1045,242,1264,54,96
1046,251,1241,58,88
1047,253,1246,56,97
1048,255,1223,56,97
1049,237,1221,52,102
1050,237,1221,54,104
1051,236,1226,56,103
1052,246,1231,57,100
1053,254,1202,60,101
1054,244,1202,55,105
1055,255,1176,63,103
1056,265,1200,63,106
1057,249,1203,61,112
1058,256,1193,63,106
1059,255,1217,66,98
1060,244,1213,61,100
1061,254,1222,64,106
1062,250,1212,60,104
1063,244,1207,62,99
1064,246,1214,63,106
1065,258,1229,61,107
1066,257,1260,63,114
1067,254,1252,63,112
1068,249,1227,64,111
1069,230,1226,61,113
1070,227,1219,63,116
1071,239,1208,63,119
1072,236,1216,56,123
1073,237,1197,57,119
1074,238,1176,58,115
1075,232,1175,56,116
1076,241,1181,55,119
1077,244,1172,63,119
1078,240,1171,57,112
1079,248,1161,58,111
1080,251,1140,51,115
1081,250,1174,49,112
1082,252,1175,47,108
1083,238,1181,52,118
1084,240,1202,49,117
1085,236,1218,46,123
1086,231,1220,44,125
1087,237,1238,47,131
1088,220,1213,50,131
1089,229,1228,48,133
1090,237,1223,50,136
1091,237,1247,50,147
1092,243,1228,52,144
1093,247,1238,53,145
1094,237,1247,54,141
1095,235,1228,55,143
1096,240,1227,59,138
1097,246,1212,58,136
1098,239,1220,62,126
1099,233,1210,53,128
1100,240,1223,55,129
1101,253,1203,54,127
1102,252,1191,48,124
1103,240,1175,48,120
1104,251,1171,50,127
1105,257,1159,52,127
1106,255,1153,52,120
1107,253,1173,54,121
1108,262,1168,53,113
1109,258,1172,49,115
1110,267,1172,52,117
1111,270,1169,52,114
1112,251,1149,50,113
1113,250,1137,51,115
1114,250,1152,46,118
1115,247,1141,44,119
1116,247,1173,45,119
1117,254,1190,43,112
1118,240,1197,44,118
1119,246,1219,43,118
1120,249,1221,43,118
1121,254,1224,41,126
1122,260,1233,45,123
1123,255,1227,43,120
1124,261,1201,43,116
1125,258,1215,41,115
1126,253,1178,42,112
1127,265,1166,44,114
1128,269,1176,42,106
1129,268,1171,42,98
1130,277,1180,43,99
1131,268,1165,45,94
1132,256,1165,48,95
1133,251,1161,46,95
1134,266,1172,52,91
1135,273,1187,59,91
1136,271,1174,56,97
1137,282,1182,57,98
1138,276,1158,56,95
1139,291,1176,50,90
1140,281,1195,51,87
1141,279,1196,54,82
1142,278,1197,59,84
1143,282,1200,64,85
1144,281,1218,61,87
1145,270,1226,60,85
1146,260,1227,58,84
1147,265,1213,55,85
1148,255,1220,56,79
1149,261,1209,54,77
1150,274,1190,53,71
1151,263,1183,48,75
1152,268,1182,48,83
1153,269,1202,50,86
1154,268,1179,45,84
1155,277,1172,46,86
1156,295,1172,44,87
1157,301,1184,43,93
1158,301,1209,45,88
1159,317,1173,42,99
1160,310,1171,43,101
1161,306,1170,45,106
1162,293,1179,43,102
1163,294,1167,42,98
